docname,topic,proportion
Privacy_Rights_Cleaned.aws.csv:32,000,1.0
Privacy_Rights_Cleaned.aws.csv:67,000,1.0
Privacy_Rights_Cleaned.aws.csv:102,001,1.0
Privacy_Rights_Cleaned.aws.csv:137,001,0.624573
Privacy_Rights_Cleaned.aws.csv:137,000,0.321624
Privacy_Rights_Cleaned.aws.csv:137,003,0.053803
Privacy_Rights_Cleaned.aws.csv:172,001,1.0
Privacy_Rights_Cleaned.aws.csv:207,000,1.0
Privacy_Rights_Cleaned.aws.csv:242,000,1.0
Privacy_Rights_Cleaned.aws.csv:277,000,1.0
Privacy_Rights_Cleaned.aws.csv:312,001,0.692862
Privacy_Rights_Cleaned.aws.csv:312,000,0.199439
Privacy_Rights_Cleaned.aws.csv:312,003,0.1077
Privacy_Rights_Cleaned.aws.csv:347,000,1.0
Privacy_Rights_Cleaned.aws.csv:382,002,1.0
Privacy_Rights_Cleaned.aws.csv:417,001,1.0
Privacy_Rights_Cleaned.aws.csv:452,000,1.0
Privacy_Rights_Cleaned.aws.csv:487,000,0.490714
Privacy_Rights_Cleaned.aws.csv:487,001,0.287385
Privacy_Rights_Cleaned.aws.csv:487,004,0.197856
Privacy_Rights_Cleaned.aws.csv:487,002,0.024045
Privacy_Rights_Cleaned.aws.csv:522,000,1.0
Privacy_Rights_Cleaned.aws.csv:557,004,1.0
Privacy_Rights_Cleaned.aws.csv:592,000,1.0
Privacy_Rights_Cleaned.aws.csv:627,000,1.0
Privacy_Rights_Cleaned.aws.csv:662,000,0.682046
Privacy_Rights_Cleaned.aws.csv:662,001,0.248461
Privacy_Rights_Cleaned.aws.csv:662,003,0.069492
Privacy_Rights_Cleaned.aws.csv:697,000,0.555135
Privacy_Rights_Cleaned.aws.csv:697,001,0.311733
Privacy_Rights_Cleaned.aws.csv:697,003,0.133132
Privacy_Rights_Cleaned.aws.csv:732,000,1.0
Privacy_Rights_Cleaned.aws.csv:767,000,1.0
